PLACE_OF_RESIDENCE(e1,e2)	<e1> I </e1> then moved to Maryland where I taught for 1 year before moving to <e2> Colorado </e2>.
DATE_OF_BIRTH(e2,e1)	Marie Helvin (born  <e2> August 13, 1952 </e2> , Tokyo, Japan) is a British-based American fashion model, <e1> who </e1> worked extensively with David Bailey—to whom she was married between 1975 and 1985.
DATE_OF_BIRTH(e1,e2)	<e1> Hans Wouda </e1> (born <e2> 7 April 1941 </e2> in Amsterdam, North Holland) is a former water polo player from the Netherlands, who competed in the 1968 and 1972 Summer Olympics for his native country.
PLACE_OF_RESIDENCE(e2,e1)	Born May 12, 1942 to Jeanette Weeks and Russ Weeks, Sr. in Beckley,  <e2> West Virginia </e2> , <e1> he </e1> is a lifelong resident of the city.
DATE_OF_BIRTH(e1,e2)	<e1> Jon Anik </e1> (born <e2> July 3, 1978 </e2>) is a former ESPN anchor and host of ESPN.com's MMA Live.
DATE_OF_BIRTH(e2,e1)	"George Francis ""Doc"" Medich (born  <e2> December 9, 1948 </e2> ), is a former professional baseball player <e1> who </e1> pitched in the Major Leagues from 1972-1982."
EMPLOYEE_OR_MEMBER_OF(e1,e2)	<e1> He </e1> is currently an Investigator with the Howard Hughes Medical Institute as well as a James B. Duke Professor of Medicine and Professor of Biochemistry and Chemistry at <e2> Duke University </e2>.
PLACE_OF_RESIDENCE(e2,e1)	I was originally based in  <e2> Hudson </e2> , MI for about 5 months before moving <e1> my </e1> shop to its current location at 136 E. Maumee St., Suite 6 in Adrian, MI.
PLACE_OF_RESIDENCE(e2,e1)	He moved to  <e2> West Germany </e2>  in 1978, joining family members <e1> who </e1> had moved to the area earlier.
EMPLOYEE_OR_MEMBER_OF(e1,e2)	<e1> He </e1> served as president of the <e2> Institution of Civil Engineers </e2> between November 1940 and November 1941.
DATE_OF_BIRTH(e1,e2)	<e1> Mildred Muis </e1> (born <e2> 28 July 1968 </e2> in Amsterdam) is a former medley and freestyle swimmer from the Netherlands, who competed in two consequentive Summer Olympics for her native country, starting in 1988.
DATE_OF_BIRTH(e2,e1)	Finbar Patrick McGuigan MBE (born  <e2> 28 February 1961 </e2> ), known as Barry McGuigan and nicknamed The Clones Cyclone, is a retired Irish professional boxer from Clones, County Monaghan, Ireland <e1> who </e1> became a World Boxing Association featherweight champion.
EMPLOYEE_OR_MEMBER_OF(e2,e1)	Prior to joining  <e2> EEDC </e2> , Ms. <e1> Nwankwo </e1> worked for the Nigeria Government owned National Electricity Company (PHCN).
EDUCATED_AT(e2,e1)	He graduated from Topeka High School in 1958, from Washburn University with a B.A. in 1961, from the University of Denver with a masters degree in psychology, from Atlanta University with a master's degree in social work, from the University of Cincinnati with a master's degree in community planning, and from Brandeis University with a Ph.D. degree in  <e2> urban </e2>  <e1> policy, </e1> where he was assistant dean of students, in 1971.
DATE_OF_BIRTH(e1,e2)	<e1> Kristyna Myles </e1> (born <e2> 10 May 1984 </e2>) is a MOBO nominated British singer-songwriter who is currently based in Manchester.
PLACE_OF_BIRTH(e2,e1)	Originally from the island of  <e2> Brač </e2> , Croatia, <e1> Denny </e1> received a degree in computer science and philosophy from the University of Stuttgart and a PhD from the Karlsruhe Institute of Technology.
EMPLOYEE_OR_MEMBER_OF(e2,e1)	Following a post-doctoral year at  <e2> Copenhagen University </e2>  with Herman Kalckar and <e1> Ole Maaloe </e1>, later Watson worked at the University of Cambridge's Cavendish Laboratory in England, where he first met his future collaborator and friend Francis Crick.
PLACE_OF_BIRTH(e1,e2)	Prince Alex<e1> a </e1>ndre de Merode (born May 24, 1934 in <e2> Etterbeek </e2>, Belgium - died November 19, 2002) was a member of the Belgian princely House of Merode and was the head of drug testing policy for the International Olympic Committee (IOC) until his death.
EMPLOYEE_OR_MEMBER_OF(e1,e2)	<e1> Brzezinski </e1> is currently Robert E. Osgood Professor of American Foreign Policy at Johns Hopkins University's School of Advanced International Studies, a scholar at the <e2> Center for Strategic and International Studies </e2>, and a member of various boards and councils.
DATE_OF_BIRTH(e1,e2)	<e1> Romuald Hazoumè </e1> (born <e2> 1962 </e2> in Porto Novo) is an artist from the Republic of Bénin, best known for his work La Bouche du Roi, a reworking of the 1789 image of the slave ship Brookes.
NATIONALITY(e1,e2)	Apostle Kojo Sarfo (also spelt <e1> Safo </e1>) is a <e2> Ghanaian </e2> pastor, philanthropist, entrepreneur, innovator and inventor., He was born on 6 August 1948 at Bekwai in the Ashanti Region of Ghana.
DATE_OF_BIRTH(e1,e2)	"<e1> Stephen Crisp </e1> (<e2> 1628 </e2>–1692) of Colchester, England, was a Quaker activist, ""traveller in the Ministry"" and prolific writer."
PLACE_OF_BIRTH(e1,e2)	<e1> She </e1> was born as Virginia Louise Noonan, one of 11 children born to a judge in <e2> Bayonne </e2>, New Jersey.
EMPLOYEE_OR_MEMBER_OF(e1,e2)	On <e1> my </e1> return to South Africa I joined the exciting and entrepeneurship <e2> Investec Group </e2> garnering broad banking experience in the risk area of private bank and specialised projects in central finance before spending my last 4 years in Treasury.
PLACE_OF_RESIDENCE(e1,e2)	<e1> He </e1> grew up on an orchard and cattle ranch operation in Rutland (to <e2> Kelowna </e2>'s east, now part of the City of Kelowna.
NATIONALITY(e2,e1)	The organization was co-founded in 1993 by Zainab Salbi, an  <e2> Iraqi </e2>  American who is <e1> herself </e1> a survivor of the Iran–Iraq War and Salbi's then-husband Amjad Atallah.
