PLACE_OF_RESIDENCE(e2,e1)	Born in Chicago,  <e2> Illinois </e2> , <e1> Bidwill </e1> received his law degree from Notre Dame Law School and lived in River Forest, Illinois.
PLACE_OF_RESIDENCE(e1,e2)	He, along with his wife, <e1> Linda </e1> and daughter Keri lived in the suburbs of <e2> Houston </e2>, Texas for approximately 20 years.
PLACE_OF_RESIDENCE(e1,e2)	He, along with his wife, Linda and daughter <e1> Keri </e1> lived in the suburbs of Houston, <e2> Texas </e2> for approximately 20 years.
DATE_OF_BIRTH(e1,e2)	<e1> Hristoforos Hoidis </e1> (born <e2> 10 September 1978 </e2>) is a Greek sprinter who specialized in the 100 metres.
NATIONALITY(e1,e2)	<e1> Mihajlo Obrenov </e1> aka miKKa is a <e2> Serbian </e2> musician, sound engineer, film director and record producer.
EMPLOYEE_OR_MEMBER_OF(e2,e1)	Today,  <e2> American Douglas Metals </e2>  is a third generation family-owned and operated organization led by Ed Raimonde (Chairman of the Board & CEO), Stephen Powers (President), and <e1> their </e1> sons, Scott Powers (VP of Sales), Craig Powers and Jeff Raimonde (VP of Marketing).
EMPLOYEE_OR_MEMBER_OF(e1,e2)	<e1> Edwin Garrigues (Gary) Boring </e1> (23 October 1886 – 1 July 1968) was an American experimental psychologist, Professor of Psychology at <e2> Clark University </e2> and at Harvard University, who later became one of the first historians of psychology.
EMPLOYEE_OR_MEMBER_OF(e1,e2)	<e1> He </e1> joined the <e2> Department of Physics & Astronomy </e2> as an instructor in 2010, and joined faculty of The University of Alabama in August 2015.
EDUCATED_AT(e1,e2)	<e1> Christine Zaccardi </e1>, the founder and director of the Drawing Room, graduated from the <e2> School of Visual Arts </e2> with a BFA in Graphic Design.
EMPLOYEE_OR_MEMBER_OF(e1,e2)	Moon Hee retired from the acting career when she married <e1> Jang Gang-jae </e1>, the vice president of <e2> Hankook Ilbo </e2> in November 1971 who later became the chair of the newspaper company.
EMPLOYEE_OR_MEMBER_OF(e1,e2)	Previously Mr. <e1> Reyna </e1> has served as the CEO of various trade and professional associations and was nominated by President Bill Clinton and confirmed by the United States Senate on October 22, 1998 to the three-member <e2> Farm Credit Administration </e2> (FCA) Board of Directors, serving as its Chairman and CEO.
PLACE_OF_RESIDENCE(e2,e1)	He moved to  <e2> Lillooet </e2>  in 1959 with <e1> his </e1> family and established Lillooet Timber with his father-in-law.
EMPLOYEE_OR_MEMBER_OF(e1,e2)	Stanley Smith Stevens (November 4, 1906 – January 18, 1973) was an American psychologist <e1> who </e1> founded Harvard's <e2> Psycho-Acoustic Laboratory </e2>, studying psychoacoustics, and he is credited with the introduction of Stevens' power law.
DATE_OF_BIRTH(e2,e1)	Joseph Fernand Leon Rochefort (born  <e2> May 4, 1939 </e2>  in Cap-de-la-Madeleine, Quebec) is a retired Canadian professional ice hockey centreman <e1> who </e1> spent 15 seasons in the National Hockey League playing for seven clubs.
PLACE_OF_RESIDENCE(e2,e1)	Dr. Vincent Guido was born and raised in the suburbs of Chicago, and moved to  <e2> Indiana </e2>  where he now lives in West Lafayette with his wife <e1> Sherri </e1>.
PLACE_OF_BIRTH(e2,e1)	Laura Ashley was born on September 7, 1925 in Dolwais, Merthyr Tydfil,  <e2> Wales </e2>  as <e1> Laura Mountney </e1>.
PLACE_OF_RESIDENCE(e1,e2)	<e1> I </e1> moved my family to <e2> Las Vegas </e2> 3 years ago to begin our new Allstate Agency here.
PLACE_OF_RESIDENCE(e1,e2)	He, along with <e1> his </e1> wife, Linda and daughter Keri lived in the suburbs of <e2> Houston </e2>, Texas for approximately 20 years.
NATIONALITY(e1,e2)	<e1> I </e1> have both German and <e2> Turkish </e2> citizenship which is a great asset for business travels and flexibility.
PLACE_OF_BIRTH(e1,e2)	<e1> Walid Ali Osman </e1> (Arabic: وليد عصمان) (born 28 February 1977 in <e2> Libya </e2>) is a Libyan football defender currently playing for Al-Ittihad.
PLACE_OF_BIRTH(e2,e1)	Born in the small town of  <e2> Weaver </e2> , Minnesota, he received <e1> his </e1> B.S. from Hamline University in St. Paul, MN and his Masters and Ph.D. from the University of Iowa in 1933; his dissertation advisor was Edward Chittenden.
PLACE_OF_RESIDENCE(e1,e2)	Born David Mortlock on 27 August 1953, <e1> he </e1> grew up in <e2> Barking </e2>, Essex, UK, later moving to Basildon New Town.
EDUCATED_AT(e1,e2)	<e1> He </e1> graduated from the <e2> University of North Dakota </e2>, where he was a member of Lambda Chi Alpha fraternity, in 1958.
PLACE_OF_RESIDENCE(e2,e1)	I moved to Florida at age 10 and lived in  <e2> Tampa Bay </e2>  area until 2004 when I moved in with <e1> my </e1> Boyfriend and co owner Jim.
PLACE_OF_RESIDENCE(e1,e2)	Robbie makes <e1> his </e1> home in Vancouver,for three months of the year,and <e2> L. A </e2>. for the remainder.
